pages,publication,dow,week,year,adverts,volume
48,ASH,3,31,2023,30,1386
40,CCH,3,31,2023,24,1201
48,LMW,3,31,2023,29,1352
32,AYA,2,31,2023,20,1174
64,TIME,4,32,2023,49,4029
64,GH,3,32,2023,54,4151
80,GL,3,32,2023,153,8010
72,WRG,4,32,2023,95,4460
40,SAM,4,32,2023,74,4121
72,SHS,4,32,2023,130,7394
56,MCG,4,32,2023,72,3489
64,BUT,4,32,2023,81,4308
48,LEJ,4,32,2023,80,5176
48,KNG,4,32,2023,63,2912
64,BFP,5,32,2023,72,4691
40,SLO,5,32,2023,37,3375
64,REC,4,32,2023,53,4576
40,BKN,3,32,2023,49,3561
76,BMB,1,32,2023,21,2343
4,LE WRAP,5,31,2023,4,1103
4,MG WRAP,5,31,2023,4,1103
40,EJC,4,31,2023,1,44
24,NE NESUP0,5,30,2023,23,3423
4,HN WRAP,4,31,2023,4,1103
4,WIT WRAP,5,31,2023,4,1049
40,FL,4,32,2023,1,44
40,GZN,3,32,2023,32,1766
4,1EES WRAP,5,31,2023,4,1103
40,CLP,3,32,2023,31,1569
80,SHE,0,30,2023,5,924
4,BEC WRAP,5,31,2023,4,1103
8,BRI BRDSUP0,4,30,2023,7,551
32,SPT,6,31,2023,1,291
28,HER,6,31,2023,27,3528
24,HER,5,31,2023,22,1498
24,HER,4,31,2023,27,2290
24,HER,3,31,2023,18,1246
24,HER,2,31,2023,23,2169
22,HER,1,31,2023,17,1434
40,ETI,6,31,2023,21,1134
40,ETI,5,31,2023,30,1629
40,ETI,4,31,2023,33,1981
40,ETI,3,31,2023,22,1139
40,ETI,2,31,2023,26,1496
40,ETI,1,31,2023,23,1677
32,EDP EDPSW,6,32,2023,1,287
4,BIA WRAP,4,31,2023,8,2153
8,EDP EDPBS,3,32,2023,4,439
32,EEN,6,32,2023,28,1638
40,EEN,5,32,2023,33,2260
40,EEN,4,32,2023,31,2382
32,EEN,3,32,2023,24,1535
32,EEN,2,32,2023,26,1522
28,EEN,1,32,2023,22,1210
72,EDP,6,32,2023,116,7011
72,EDP,5,32,2023,103,5327
56,EDP,4,32,2023,58,2833
48,EDP,3,32,2023,45,1949
56,EDP,2,32,2023,41,2685
44,EDP,1,32,2023,43,1895
40,EST,5,32,2023,40,2137
40,EST,4,32,2023,45,2977
32,EST,3,32,2023,32,1992
32,EST,2,32,2023,36,1925
32,EST,1,32,2023,38,2052
56,EDT,6,32,2023,63,3299
56,EDT,5,32,2023,59,3103
44,EDT,4,32,2023,47,2634
48,EDT,3,32,2023,41,2280
48,EDT,2,32,2023,40,1792
40,EDT,1,32,2023,44,1985
24,SWR,4,32,2023,33,2430
32,DUN,4,32,2023,40,3381
40,COM,4,32,2023,77,4774
40,WHT,3,32,2023,54,2984
24,ROC,4,32,2023,45,2963
32,HAD,4,32,2023,54,3244
56,HHE,4,32,2023,36,2412
56,RRC,5,32,2023,76,5318
32,BDP,3,32,2023,47,3575
28,BKT,4,32,2023,37,2947
24,ELA,4,32,2023,32,2570
28,NRC,3,32,2023,47,3776
32,ILF,4,32,2023,45,3633
32,IGZ,4,32,2023,38,2587
32,GRT,6,31,2023,21,858
32,GRT,5,31,2023,33,1579
32,GRT,4,31,2023,29,1551
32,GRT,3,31,2023,29,1110
32,GRT,2,31,2023,39,1395
32,GRT,1,31,2023,32,1396
40,CLP,3,31,2023,28,1550
40,HLA,4,31,2023,27,1456
40,GZN,3,31,2023,32,1515
40,ALA,3,31,2023,50,1846
40,NEWS,6,32,2023,36,3532
40,NEWS,5,32,2023,29,2327
40,NEWS,4,32,2023,32,2574
40,NEWS,3,32,2023,23,1921
40,NEWS,2,32,2023,24,2010
40,NEWS,1,32,2023,30,2261
64,TMAI,6,32,2023,26,1888
40,TMAI,5,32,2023,31,2325
40,TMAI,4,32,2023,28,2303
40,TMAI,3,32,2023,25,2332
40,TMAI,2,32,2023,22,1772
40,TMAI,1,32,2023,28,2015
56,BWM,2,31,2023,89,4449
56,NE,6,32,2023,44,3356
48,NE,5,32,2023,54,3657
48,NE,4,32,2023,51,2785
48,NE,3,32,2023,44,2833
48,NE,2,32,2023,37,2038
48,NE,1,32,2023,43,2032
64,DU,4,32,2023,52,4788
80,DS,5,32,2023,82,5714
56,BNE,6,32,2023,52,2962
40,BNE,5,32,2023,64,2990
40,BNE,4,32,2023,69,2835
40,BNE,3,32,2023,61,2458
40,BNE,2,32,2023,61,2567
40,BNE,1,32,2023,58,2404
64,OLT,4,32,2023,50,3375
56,LTE,6,32,2023,45,2747
40,LTE,5,32,2023,52,3318
40,LTE,4,32,2023,57,2887
40,LTE,3,32,2023,49,2592
40,LTE,2,32,2023,49,2551
40,LTE,1,32,2023,46,2329
32,BRA,6,32,2023,24,1704
48,BRA,5,32,2023,48,2769
48,BRA,4,32,2023,52,4376
40,BRA,3,32,2023,30,1882
40,BRA,2,32,2023,38,1979
48,BRA,1,32,2023,26,1890
56,CEG,5,32,2023,36,2796
40,CEG,4,32,2023,32,2809
32,CEG,3,32,2023,20,1461
32,CEG,2,32,2023,31,1685
32,CEG,1,32,2023,24,1553
64,BEC,5,32,2023,86,4813
48,BEC,4,32,2023,83,4503
40,BEC,3,32,2023,64,2468
40,BEC,2,32,2023,183,2839
40,BEC,1,32,2023,65,2607
64,RJO,3,32,2023,125,6332
48,TLE,5,32,2023,58,2752
40,TLE,3,32,2023,47,2298
40,TLE,2,32,2023,50,2335
40,TLE,1,32,2023,49,1976
40,WN,6,32,2023,42,2380
40,WN,5,32,2023,44,2545
40,WN,4,32,2023,46,3882
32,WN,3,32,2023,38,1859
32,WN,2,32,2023,35,1970
32,WN,1,32,2023,38,1827
80,WGH,4,32,2023,73,6686
76,WIT,5,32,2023,80,7274
